Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Bee_iso,Research_country,Research_iso,Country,Iso_code,Collection time,Approach group
Identify the Beehive Sound Using Deep Learning,Quaderi et al.,2022,Classification,Colony Health & Acoustic Monitoring — Beehive vs Non-Beehive Sound Classification,"Feature extraction: MFCC, Mel spectrogram, Chroma → Sequential NN, CNN, RNN (deep learning) + SVM, RF, Naive Bayes, Decision Tree (classical ML) — comprehensive comparison of 7 model families. Binary: beehive vs non-beehive sound.",Audio,https://arxiv.org/pdf/2209.01374,"Flowers play an essential role in removing the duller from the environment. The life cycle of the flowering
plants involves pollination, fertilization, flowering, seed- formation, dispersion, and germination.
Honeybees pollinate approximately 75% of all flowering plants. Environmental pollution, climate change,
natural landscape demolition, and so on, threaten the natural habitats, thus continuously reducing the
number of honeybees. As a result, several researchers are attempting to resolve this issue. Applying
acoustic classification to recordings of beehive sounds may be a way of detecting changes within them. In
this research, we use deep learning techniques, namely Sequential Neural Network, Convolutional Neural
Network, and Recurrent Neural Network, on the recorded sounds to classify bee sounds from the nonbeehive noises. In addition, we perform a comparative study among some popular non-deep learning
techniques, namely Support Vector Machine, Decision Tree, Random Forest, and Naïve Bayes, with the
deep learning techniques. The techniques are also verified on the combined recorded sounds (25-75%
noises)",arXiv,,"The paper studies how to distinguish beehive sounds from non-beehive sounds in recordings collected inside hives. The authors present this as an important first step for audio-based beehive monitoring, because outside sounds such as animals, rain, urban noise, and maintenance sounds can appear in hive recordings and need to be separated from actual bee sounds.","America, Europe, Australia (OSBH, NU-Hive)",Bangladesh,United States,USA,Bangladesh,BGD,United States,USA,2015,Hybrid / Multi-Model
Image Recognition Using Convolutional Neural Networks for Classification of Honey Bee Subspecies,Wang et al.,2022,Classification,Species & Subspecies Classification — CNN Subspecies Classification from Bee Images,"Custom CNN trained on whole-body bee images for subspecies classification. Compared against classical morphometric methods. Multiple subspecies including carnica, ligustica, caucasica.",Image,https://link.springer.com/article/10.1007/s13592-022-00918-5,"Four models based on convolutional neural networks were used to investigate whether image recognition techniques applied to honey bee wings could be used to discriminate among honey bee subspecies. A dataset consisting of 9887 wing images belonging to 7 subspecies and one hybrid was analysed with ResNet 50, MobileNet V2, Inception Net V3, and Inception ResNet V2. Accuracy values of classification of individual wings were over 0.92, and all models outperformed traditional morphometric evaluation. The Inception models achieved the highest accuracies and higher scores of precision and recall for most classes. When wing images were grouped by colony, almost all wings in the colony samples were labelled with the same class. We conclude that automatic image recognition and machine learning applied to honey bee wings can reliably discriminate among the European subspecies and could thus represent a useful tool for fast classification of honey bee subspecies for breeding and conservation aims.",Apidologie,honeybees and artificial intelligence,classification,Italy and other European countries,Italy,Italy,ITA,Italy,ITA,Italy,ITA,,CNN & Variants
MFCC-Based Descriptor for Bee Queen Presence Detection,Soares et al.,2022,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — MFCC Queen Presence Detection (RF/SVM),Novel MFCC-based feature descriptor specifically engineered for queen presence detection. RF and SVM classifiers compared. Extensive evaluation on multiple hive datasets. Focuses on descriptor design rather than model complexity.,Audio,https://www.sciencedirect.com/science/article/pii/S0957417422005085,"Monitoring and detecting hive health are essential for the development of ecosystem conservation strategies and sustainable beekeeping. The absence of the queen bee is a warning signal and indicates an anomalous situation. The literature contains promising machine learning and deep learning techniques for detecting the presence of the queen bee through the spectral temporal analysis of hive sounds. Despite works that consider handcrafted and deep features to describe the problem, there is a lack of feature selection to evaluate which descriptors could better discriminate the presence/absence of queen bee. Additionally, deep learning techniques lead to high-dimension descriptors and a high computational cost. In this context, we explore feature extraction and selection techniques to obtain efficient and compact descriptors that can perform classification in a real-time monitoring scenario. The results reveal that combining cepstral, time, and frequency features achieve 0.99 for accuracy, kappa, area under curve, specificity, and sensibility metrics, outperforming most state-of-the-art models for queen bee presence classification, including convolution neural network models. The feature selection step notably reduces the descriptor size and maintains classification performance. The 15 and 31 mel-frequency cepstrum coefficients descriptors have a low dimension and are based on only one feature, which reduces the number of calculation and library dependencies. Given this, we believe that our findings can support deployment in low-computational devices for non-intrusive and real-time hive health diagnoses.",Elsevier,,"Research problem:
The paper studies how to detect the presence or absence of the queen bee from hive audio for non-intrusive, real-time hive health monitoring. The authors say queen absence is an important warning signal, but deep-learning methods can have high computational cost and large feature size, which makes real-time use on low-cost devices difficult. Their goal is therefore to find a compact and efficient descriptor that can classify queen presence accurately with lower computational demand.",UK (NU-Hive),Brazil,United Kingdom,GBR,Brazil,BRA,United Kingdom,GBR,2018,Classical ML
SLEAP: A Deep Learning System for Multi-Animal Pose Tracking,Pereira et al.,2022,Tracking & Pose Estimation,Individual Tracking & Re-identification — Multi-Animal Multi-Keypoint Pose Tracking,End-to-end framework: labelling + model training (30+ neural network backbones) + inference. Two identity-linking strategies: tracking-by-detection and tracking-by-grouping. Multi-keypoint pose estimates for all individuals simultaneously. Validated on dense honey bee footage.,Video,https://www.nature.com/articles/s41592-022-01426-1,"The desire to understand how the brain generates and patterns behavior has driven rapid methodological innovation in tools to quantify natural animal behavior. While advances in deep learning and computer vision have enabled markerless pose estimation in individual animals, extending these to multiple animals presents unique challenges for studies of social behaviors or animals in their natural environments. Here we present Social LEAP Estimates Animal Poses (SLEAP), a machine learning system for multi-animal pose tracking. This system enables versatile workflows for data labeling, model training and inference on previously unseen data. SLEAP features an accessible graphical user interface, a standardized data model, a reproducible configuration system, over 30 model architectures, two approaches to part grouping and two approaches to identity tracking. We applied SLEAP to seven datasets across flies, bees, mice and gerbils to systematically evaluate each approach and architecture, and we compare it with other existing approaches. SLEAP achieves greater accuracy and speeds of more than 800 frames per second, with latencies of less than 3.5 ms at full 1,024 × 1,024 image resolution. This makes SLEAP usable for real-time applications, which we demonstrate by controlling the behavior of one animal on the basis of the tracking and detection of social interactions with another animal.",nature methods,honey bee artificial intelligence,pose tracking,-,USA,,,United States,USA,United States,USA,2019,CNN & Variants
IoT Monitoring and Prediction Modeling of Honeybee Activity with Alarm,Andrijević et al.,2022,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Forager Activity Prediction,"ARIMA, Facebook Prophet, LSTM. IoT modular station with 24-gate photoreflective bee counter, temperature, humidity, air quality, UV, IR, wind, rain, sound, vibration sensors. Predicts hourly bee exits and entrances from environmental time series. Five-fold time-series cross-validation on 20 days of data.",time-series,,,,,,,,,,,,,,,
A Deep Learning Approach to Classify the Honeybee Species and Health Identification,Karthiga et al.,2021,Classification,Species & Subspecies Classification — Dual Species and Disease Classification,"Two-layer CNN + SMOTE (minority-class oversampling). Dual output heads: (1) subspecies recognition, (2) disease screening. Training set: 5,000+ worker-bee images annotated with pollen, subspecies, health, and location metadata.",Image,https://ieeexplore.ieee.org/abstract/document/9445173,Honey bee is one of the charming insect that utilizes a collective behavioral nature to achieve the powerful action. Protecting honey bees is one of the important jobs of every human in the world to preserve the ecological balance. Tracking and determining the several species of the bees over their life span electronically is a tedious work. Automated classification of species is important to preserve the various species of honey bees from danger. The diseases that affect the honey bees during their life span have to be detected autonomously and the spread of the diseases to other healthy honey bees has to be preserved. The proposed technique aims in classifying the several species of honey bees and identifying the diseases that are prone to honey bees. Convolution neural network with two dimensional layers are used as a classifier in the proposed model. Data augmentation using Synthetic Minority Over-sampling Technique (SMOTE) is utilized. More than 5000 images of honey bees with lot of features are used for learning purpose. The proposed methodology attained an accuracy of 86% for subspecies classification and 84% for bee health identification.,,Bee Species Classification,image classification,USA,india,United States,USA,India,IND,United States,USA,2021,CNN & Variants
Acoustic Scene Classification and Visualization of Beehive Sounds Using Machine Learning Algorithms and Grad-CAM,Kim et al.,2021,Classification,Colony Health & Acoustic Monitoring — Bee vs Non-Bee Sound Classification,"MFCC / log-Mel features → SVM, RF, XGBoost (classical ML) and VGG-13, custom CNN (deep learning). Grad-CAM visualization to explain CNN decisions. Compares 5 model families.",Audio,https://onlinelibrary.wiley.com/doi/10.1155/2021/5594498?utm_source=chatgpt.com,"Honeybees play a crucial role in the agriculture industry because they pollinate approximately 75% of all ﬂowering crops.However, every year, the number of honeybees continues to decrease. Consequently, numerous researchers in various ﬁelds havepersistently attempted to solve this problem. Acoustic scene classiﬁcation, using sounds recorded from beehives, is an approachthat can be applied to detect changes inside beehives. -is method can be used to determine intervals that threaten a beehive.Currently, studies on sound analysis, using deep learning algorithms integrated with various data preprocessing methods thatextract features from sound signals, continue to be conducted. However, there is little insight into how deep learning algorithmsrecognize audio scenes, as demonstrated by studies on image recognition. -erefore, in this study, we used a mel spectrogram,mel-frequency cepstral coeﬃcients (MFCCs), and a constant-Q transform to compare the performance of conventional machinelearning models to that of convolutional neural network (CNN) models. We used the support vector machine, random forest,extreme gradient boosting, shallow CNN, and VGG-13 models. Using gradient-weighted class activation mapping (Grad-CAM),we conducted an analysis to determine how the best-performing CNN model recognized audio scenes. -e results showed that theVGG-13 model, using MFCCs as input data, demonstrated the best accuracy (91.93%). Additionally, based on the precision, recall,and F1-score for each class, we established that sounds other than those from bees were eﬀectively recognized. Further, weconducted an analysis to determine the MFCCs that are important for classiﬁcation through the visualizations obtained byapplying Grad-CAM to the VGG-13 model. We believe that our ﬁndings can be used to develop a monitoring system that canconsistently detect abnormal conditions in beehives early by classifying the sounds inside beehives",Mathematical Problems in Engineering,,"The paper aims to find a suitable way to classify beehive sounds automatically as “Bee” or “noBee”, because sound analysis can help detect abnormal conditions inside beehives early. The paper also says there is little insight into how deep learning models recognize beehive audio scenes, so a second goal is to use Grad-CAM to explain which sound regions are important when the model makes its decision.","America, Europe, Australia (OSBH)",Korea,United States,USA,,,United States,USA,2015,Hybrid / Multi-Model
An Intelligent Monitoring System for Assessing Bee Hive Health,Braga et al.,2021,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Multi-Threat Hive Health Assessment,"R-CNN (object detection, bee localisation) + CNN (classification: healthy, Varroa, ant intrusion, robbery, beetle). Transfer learning on multiple pre-trained backbones. System includes alert logic for beekeepers.",Image,https://ieeexplore.ieee.org/document/9455393,"Up to one third of the global food production depends on the pollination of honey bees, making them vital. This study defines a methodology to create a bee hive health monitoring system through image processing techniques. The approach consists of two models, where one performs the detection of bees in an image and the other classifies the detected bee's health. The main contribution of the defined methodology is the increased efficacy of the models, whilst maintaining the same efficiency found in the state of the art. Two databases were used to create models based on Convolutional Neural Network (CNN). The best results consist of 95% accuracy for health classification of a bee and 82% accuracy in detecting the presence of bees in an image, higher than those found in the state-of-the-art.",IEEE,,"Research problem:
The paper aims to build a system that can monitor bee hive health automatically using images, so that beekeepers need less direct intervention, bees suffer less stress, and health problems can be found earlier. The paper explains that hive health should be assessed from the health of individual bees, but to do that automatically the system must first detect bees in a scene and then classify the health of the detected bees.",USA (beeImage),Italy,United States,USA,Italy,ITA,United States,USA,2018,Hybrid / Multi-Model
Automated Monitoring and Analyses of Honey Bee Pollen Foraging Behavior Using a Deep Learning-Based Imaging System,Ngo et al.,2021,Detection,Pollen & Foraging Monitoring — Real-Time Pollen Forager Detection and Counting,"Background subtraction + morphological operations (bee ROI extraction) → fine-tuned YOLOv3-tiny (pollen-bearer binary classification, BEE/POLLEN). Deployed on Raspberry Pi edge hardware. Real-time at entrance.",Image,https://www.sciencedirect.com/science/article/abs/pii/S0168169921002568,"Pollen foraging efficiency provides vital information for the behavioral research on honey bees. The pollen production of beehives can be measured by manually weighing the pollen collected from pollen traps. For long-term pollen foraging monitoring, this approach is both inefficient and laborious. This study presents an efficient method for automatically monitoring the pollen foraging behavior and environmental conditions through an embedded imaging system. The imaging system uses an off-the-shelf camera installed at the beehive entrance to acquire video streams that are processed using the developed image processing algorithm. A lightweight real-time object detection and deep learning-based classification model, supported by an object tracking algorithm, was trained for counting and recognizing honey bee into pollen or non-pollen bearing class. The F1-score was 0.94 for pollen and non-pollen bearing honey bee recognition, and the precision and recall values were 0.91 and 0.99, respectively. For foraging trip counting algorithm, the mean average percent errors of the pollen bearing honey bee count and the total incoming honey bee count were 8.45 ± 2.72% and 10.55 ± 2.10%, respectively. An experiment was performed to test the performance of the imaging system in continuous monitoring of honey bee pollen foraging behavior as well as to investigate the effect caused by weather factors. The incoming and outgoing honey bee count were recorded and used to calculate indices based on the hourly and daily recorded counts for further analyses. The experimental results and analyses revealed that the daily pollen foraging trip ratio was 24.5 ± 3.5%; a single beehive collected about 49.1 ± 11.0 g of pollen per day. The pollen foraging trip count increased with increasing temperature and light intensity, and decreased with increasing relative humidity, rain level and wind speed. A significant reduction of pollen foraging activities was observed in heavy rainfall or gentle breeze conditions. This study not only quantitatively presents the effect of environmental factors on pollen foraging behavior, but also demonstrates the efficacy of the proposed imaging system. The automated imaging system can be applied as an efficient and reliable tool for researchers to gain deeper insights into honey bee foraging behavior, and help beekeepers achieve beehive management.",Computers and Electronics in Agriculture,honeybees and artificial intelligence,monitoring,Taiwan,Taiwan,"Taiwan, Province of China",TWN,"Taiwan, Province of China",TWN,"Taiwan, Province of China",TWN,2019,CNN & Variants
Comparison of Feature Extraction Methods for Sound-Based Classification of Honey Bee Activity,Terenzi et al.,2021,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Queen Presence Classification via Audio Features,"Six feature sets compared: MFCC, STFT, HHT, CWT, DWT + log-Mel → CNN. Binary classification: queenright vs queenless. Full feature-extraction benchmark on NU-Hive dataset.",Audio,https://dl.acm.org/doi/10.1109/TASLP.2021.3133194,"Honey bees are one of the most important insects on the planet since they play a key role in the pollination services of both cultivated and spontaneous flora. Recent years have seen an increase in bee mortality which points out the necessity of intensive beehive monitoring in order to better understand this phenomenon and try to help these important insects. In this scenario, this work presents an algorithm for sound-based classification of honey bee activity reporting a preliminary comparison between various extracted features used separately as input to a convolutional neural network classifier. In particular, the orphaned colony situation has been considered using a dataset acquired in a real situation. Different experiments with different setups have been carried out in order to test the performance of the proposed system, and the results have confirmed its potentiality.",IEEE,,"Research problem:
The paper addresses the need for intensive honey bee monitoring, and focuses on whether hive sound can be used to classify an important colony state: the presence or absence of the queen bee. The paper explains that if the queen dies, the colony cannot survive unless the beekeeper intervenes, so detecting the orphaned colony situation is important. This paper extends earlier work by comparing different feature extraction methods for this sound-based classification task.",-,Europe,,,,,,,2021,CNN & Variants
