Title,Authors,Publication year,Data,Collection Year,Approach,Approach group,Abstract, keyworsd,Subcategories,Category (section), demographic,Research demographic
A new approach for the simultaneous tracking of multiple honeybees for analysis of hive behavior,Kimura et al.,2011,Video,2011,Vector Quantization (VQ),Domain Specific / Specialized,"Social activities are among the most striking of animal behaviors, and the clarification of their mechanisms is a major subject in ethology. Honeybees are a good model for revealing these mechanisms because they display various social behaviors, such as division of labor, in their colonies. Image processing is a precise and convenient tool for obtaining animal behavior data, but even recent methods are inadequate for the identification or description of honeybee behavior. This is because of the difficulty distinguishing between the large number of individuals in a small hive and their multiple movements. The present study developed a new computer-aided system, using a vector quantization method, for the identification and behavioral tracking of individual honeybees. The vector quantization method enabled separation of honeybee bodies in photographs recorded as a movie. This system succeeded in analyzing a huge number of frames quickly and can thus save both time and labor. Moreover, the system identified more than 72% of the bees in a hive and found and determined the active areas in the hive by extracting the trajectories of walking bees. In addition, useful behavioral data on the honeybee waggle dance were obtained using the present syste",honeybee tracking,Tracking & Pose Estimation,Individual Tracking & Re-identification — In-hive Movement Analysis,-,Japan
Stereoscopic motion analysis in densely packed clusters: 3D analysis of the shimmering behaviour in Giant honey bees,Kastberger et al.,2011,Video,2011,Segmentation + Stereo Matching + Kalman Tracking + Triangulation,Classical CV,"AbstractBackground: The detailed interpretation of mass phenomena such as human escape panic or swarm behaviour in
birds, fish, and insects requires detailed analysis of the 3D movements of individual participants. Here, we describe
the adaptation of a 3D stereoscopic imaging method to measure the positional coordinates of individual agents in
densely packed clusters. The method was applied to study behavioural aspects of shimmering in Giant honeybees,
a collective defence behaviour that deters predatory wasps by visual cues, whereby individual bees flip their
abdomen upwards in a split second, producing Mexican wave-like patterns.
Results: Stereoscopic imaging provided non-invasive, automated, simultaneous, in-situ 3D measurements of
hundreds of bees on the nest surface regarding their thoracic position and orientation of the body length axis.
Segmentation was the basis for the stereo matching, which defined correspondences of individual bees in pairs of
stereo images. Stereo-matched “agent bees” were re-identified in subsequent frames by the tracking procedure and
triangulated into real-world coordinates. These algorithms were required to calculate the three spatial motion
components (dx: horizontal, dy: vertical and dz: towards and from the comb) of individual bees over time.
Conclusions: The method enables the assessment of the 3D positions of individual Giant honeybees, which is not
possible with single-view cameras. The method can be applied to distinguish at the individual bee level active
movements of the thoraces produced by abdominal flipping from passive motions generated by the moving bee
curtain. The data provide evidence that the z-deflections of thoraces are potential cues for colony-intrinsic
communication. The method helps to understand the phenomenon of collective decision-making through
mechanoceptive synchronization and to associate shimmering with the principles of wave propagation. With
further, minor modifications, the method could be used to study aspects of other mass phenomena that involve
active and passive movements of individual agents in densely packed clusters.",honeybee video analysis,Tracking & Pose Estimation,Colony Health & Acoustic Monitoring — Collective Defence Behaviour Analysis,Nepal,Austria
Detection of the mite Varroa destructor in honey bee cells by video sequence processing,Ramírez et al.,2012,Video,2012,Dynamic background subtraction + threshold (Classical CV),Classical CV,"Abstract— It is presented an algorithm for detecting and
tracking a mite, from videos provided by the Centro de
Investigación Apícola Tropical (CINAT-Costa Rica). These
registrations correspond to the presence of the Varroa
destructor mite in an Africanized honey bee cell, in a
controlled environment. The main objective in this paper is
to present the various stages of development of the
algorithm and show the results obtained in the percentage of
success in detecting. Therefore, we have implemented a
calibration system in order to have a frame more enhanced
versus the original video. This calibration is done by the
searching of the Movement Active Area and definition of
our object (the mite V destructor), and finally, an automatic
detection and tracking are done. We have reached up to
93.75% for right detection and tracking, working on real
time under a Matlab environment.",detection honey bee,Detection,Varroa & Disease Detection — In-cell Mite Detection,-,Costa Rica
An imaging system for monitoring the in-and-out activity of honey bees,Chen et al.,2012,Video,2012,Circular Hough Transform + SVM (OCR tag recognition),Classical ML,"This study aimed to develop an imaging system for monitoring and analyzing the in-and-out activity of
honey bees as they pass through the entrance of a beehive. As such, the daily in-and-out activity of a beehive could be automatically recorded with minimum interference with the regular behavior of the bees.
The components of the imaging system include: (1) an infrared LED light source; (2) an infrared CCD camera and a personal computer for image acquisition and processing; and (3) an acrylic passageway to temporarily confine the bees within the image-capturing range of the camera. In operation, this imaging
system was affixed to the outside of a beehive at the entry/exit point. To identify each forager of bee
workers individually, circular character-encoding tags were attached to the dorsum of the bees’ thoraxes.
To locate individual honey bees in a video frame, a circular Hough transform was used to detect the presence of the circular tags. A black positioning dot on the tag was used to identify the orientation of the
characters in order to facilitate the reading of the symbols on the circular tag. The extracted character
symbols were further segmented and a support vector machine (SVM) classifier was deployed to recognize the characters and identify the individual honey bee. The system developed in this study was used in
experimentation to identify each of the tagged bees and to record the timing of the entries and exits. The
character symbol recognition and identification accuracy rates of the system were about 98% and 86%,
respectively. Based on the in-and-out records, daily foraging behavior of honey bees were analyzed
and presented. These experimental results demonstrate that this imaging system is feasible and can be
used as an efficient tool to study honey bee behavior.",honeybee monitoring system,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Forager Activity,Taiwan,Taiwan
3D Tracking of Honeybees Enhanced by Environmental Context,Chiron et al.,2013,Video,2013,Stereo vision + Global Nearest Neighbor tracking (Classical CV),Optimization / Probabilistic,"This paper summarizes an approach based on stereo vision to recover honeybee trajectories in 3D at the beehive entrance. The 3D advantage offered by stereo vision is crucial to overcome the rough constraints of the application (number of bees, target dynamics and light). Biologists have highlighted the close scale influence of the environment on bees dynamics. We propose to transpose this idea to enhance our tracking process based on Global Nearest Neighbors. Our method normalizes track/observation association costs that are originally not uniformly distributed over the scene. Therefore, the structure of the scene is needed in order to compute relative distances with the targets. The beehive and especially the flight board is the referent environment for bees, so we propose a method to reconstruct the flight board surface from the noisy and incomplete disparity maps provided by the stereo camera.",honeybee video monitoring,Tracking & Pose Estimation,Individual Tracking & Re-identification — Entrance Flight Tracking,-,Italy
Detecting and tracking honeybees in 3D at the beehive entrance using stereo vision,Chiron et al.,2013,Video,2012,Hybrid segmentation (intensity + depth) + Kalman Filter + GNN (Classical CV),Optimization / Probabilistic,"In response to recent needs of biologists, we lay the foundations for a real-time stereo vision-based system for monitoring flying honeybees in three dimensions at the beehive entrance. Tracking bees is a challenging task as they are numerous, small, and fast-moving targets with chaotic motion. Contrary to current state-of-the-art approaches, we propose to tackle the problem in 3D space. We present a stereo vision-based system that is able to detect bees at the beehive entrance and is sufficiently reliable for tracking. Furthermore, we propose a detect-before-track approach that employs two innovating methods: hybrid segmentation using both intensity and depth images, and tuned 3D multi-target tracking based on the Kalman filter and Global Nearest Neighbor. Tests on robust ground truths for segmentation and tracking have shown that our segmentation and tracking methods clearly outperform standard 2D approaches.",honeybees and artificial intelligence,Tracking & Pose Estimation,Individual Tracking & Re-identification — Entrance Flight Tracking,France,France
"Signal Processing the Acoustics of Honeybees (Apis Mellifera) to Identify the ""Queenless"" State in Hives","Howard, Duran, Hunter, Stebel",2013,Audio,2012,Spectrographic analysis + SOM (Self-Organising Map),Domain Specific / Specialized,"The honeybee, Apis Mellifera, is of vital importance to the agricultural sector across the
World, primarily due to it exceptional abilities to pollinate crops. In 2006, honeybee colony numbers
in developed countries experienced a dramatic decline, due to a diverse range of factors collectively
known as Colony Collapse Disorder. At about the same time, revenue from using bees for
pollination purposes surpassed revenue from honey production for the first time. Hive inspection is
time consuming, disruptive and stressful to the colony, and can be the cause of accidental queen
death. Furthermore, a colony without a queen will die unless a substitute queen is successfully
introduced. A non-invasive method of hive monitoring is a therefore desirable objective. In this
paper, we propose and investigate some acoustic-based methods, based on spectrographic
analysis and inspired by established techniques commonly used in the analysis of human speech,
to distinguish the “queenright” (i.e. with a live queen present) and “queenless” states. Namely, we
compare the spectrograms, FFT and S-transform of the audio recordings. In order to assess the
different methods, the results of the frequency analysis are classified using a Kohonen SelfOrganising Map (SOM) artificial neural network, which is a useful tool for clustering and
visualisation of high dimensional data into a lower dimension space. We evaluate our approach
using acoustic data recorded from real beehives, under controlled conditions, over the course of a
week, kindly provided by Arnia Ltd, a company specialising in beehive monitoring equipment.",,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Queen Presence,European,UK
Remote Beehive Monitoring Using Acoustic Signals,Qandour et al.,2014,Audio,2013,"FFT features (PF, SC, Bandwidth, RVF) + PCA + SVM / LDA",Classical ML,"Recent developments in Wireless Sensor Networks (WSNs) have led to their use in remote data acquisition and automatic
data analysis applications, which have proven to be an invaluable tool in a diverse range of fields including biosecurity.
Further indications have been found that honeybee health can be monitored and determined through the use of acoustic
analysis. In this paper, we present a system that has the ability to remotely detect the presence of pest infestation on a colony
of honeybees by comparing the acoustic fingerprint of a hive to a fingerprint of known status. This will aid the goals of
increasing surveillance programs by reducing the labour time and costs that are associated with managing and maintaining
monitoring programs. Other benefits of the system proposed in this article include the ability to make available a collection
of deterministic, standardised and nondiscriminatory statistical data for the purpose of research into determining the causes
of colony collapse disorder.",,Monitoring and Predictive Health Analytics,Varroa & Disease Detection — Acoustic Pest Detection,-,Australia
Automated tracking and analysis of behavior in restrained insects,Shen et al.,2015,Video,2014,GMM background subtraction + Naïve Bayesian Classifier + Hungarian algorithm,Optimization / Probabilistic,"Background: Insect behavior is often monitored by human observers and measured in the form of binary
responses. This procedure is time costly and does not allow a fine graded measurement of behavioral
performance in individual animals. To overcome this limitation, we have developed a computer vision
system which allows the automated tracking of body parts of restrained insects.
New method: Our system crops a continuous video into separate shots with a static background. It then
segments outthe insect’s head and preprocesses the detected moving objects to exclude detection errors.
A Bayesian-based algorithm is proposed to identify the trajectory of each body part.
Results: We demonstrate the application of this novel tracking algorithm by monitoring movements of
the mouthparts and antennae of honey bees and ants, and demonstrate its suitability for analyzing the
behavioral performance of individual bees using a common associative learning paradigm.
Comparison with existing methods: Our tracking system differs from existing systems in that it does not
require each video to be labeled manually and is capable of tracking insects’ body parts even when
working with low frame-rate videos. Our system can be generalized for other insecttracking applications.
Conclusions: Our system paves the ground for fully automated monitoring of the behavior of restrained
insects and accounts for individual variations in graded behavior.",,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Learning & Memory Analysis,USA,Germany
Automatic methods for long-term tracking and the detection and decoding of communication dances in honeybees,Wario et al.,2015,Video,2014,Probabilistic barcode ID filter + motion-based waggle detection + Bayesian temporal tracking,Optimization / Probabilistic,"The honeybee waggle dance communication system is an intriguing example of abstract animal communication and has been investigated thoroughly throughout the last seven decades. Typically, observables such as waggle durations or body angles are extracted manually either directly from the observation hive or from video recordings to quantify properties of the dance and related behaviors. In recent years, biology has profited from automation, improving measurement precision, removing human bias, and accelerating data collection. We have developed technologies to track all individuals of a honeybee colony and to detect and decode communication dances automatically. In strong contrast to conventional approaches that focus on a small subset of the hive life, whether this regards time, space, or animal identity, our more inclusive system will help the understanding of the dance comprehensively in its spatial, temporal, and social context. In this contribution, we present full specifications of the recording setup and the software for automatic recognition of individually tagged bees and the decoding of dances. We discuss potential research directions that may benefit from the proposed automation. Lastly, to exemplify the power of the methodology, we show experimental data and respective analyses from a continuous, experimental recording of 9 weeks duration",,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Dance Detection & Decoding,-,Europe
