Title,Papers,URL,Authors,Year,Abstract,Venue Name,Data modality,Pass/Fail,Search Keyword,Approach (AI),Research Problem,Category
An AI-Based Open-Source Software for Varroa Mite Fall Analysis in Honeybee Colonies,An AI-Based Open-Source Software for Varroa Mite Fall Analysis in Honeybee Colonies,https://www.mdpi.com/2077-0472/15/9/969,Yániz et al.,2025,"Infestation by Varroa destructor is responsible for high mortality rates in Apis mellifera colonies worldwide. This study was designed to develop and test under field conditions a new free software (VarroDetector) based on a deep learning approach for the automated detection and counting of Varroa mites using smartphone images of sticky boards collected in honeybee colonies. A total of 204 sheets were collected, divided into four frames using green strings, and photographed under controlled lighting conditions with different smartphone models at a minimum resolution of 48 megapixels. The Varroa detection algorithm comprises two main steps: First, the region of interest where Varroa mites must be counted is established. From there, a one-stage detector is used, namely YOLO v11 Nano. A final verification was conducted counting the number of Varroa mites present on new sticky sheets both manually through visual inspection and using the VarroDetector software and comparing these measurements with the actual number of mites present on the sheet (control). The results obtained with the VarroDetector software were highly correlated with the control (R2 = 0.98 to 0.99, depending on the smartphone camera used), even when using a smartphone for which the software was not previously trained. When Varroa mite numbers were higher than 50 per sheet, the results of VarroDetector were more reliable than those obtained with visual inspection performed by trained operators, while the processing time was significantly reduced. It is concluded that the VarroDetector software Version 1.0 (v. 1.0) is a reliable and efficient tool for the automated detection and counting of Varroa mites present on sticky boards collected in honeybee colonies.",MDPI,Images,,neural network honeybees,YOLOv11,to detect and count Varroa destructor mites used to monitor infestation in bee colonies,detection
Apis mellifera Bee Verification with IoT and Graph Neural Network,Apis mellifera Bee Verification with IoT and Graph Neural Network,https://www.mdpi.com/2076-3417/15/14/7969,Martínez et al.,2025,"Automatic recognition systems (ARS) have been proposed in scientific and technological research for the care and preservation of endangered species; these systems, consisting of Internet of Things (IoT) devices and object-recognition techniques with artificial intelligence (AI), have emerged as proposed solutions to detect and prevent parasite attacks on Apis mellifera bees. This article presents a pilot ARS for the recognition and analysis of honeybees at the hive entrance using IoT devices and automatic object-recognition techniques, for the early detection of the Varroa mite in test apiaries. Two object-recognition techniques, namely the k-Nearest Neighbor Algorithm (kNN) and Graph Neural Network (GNN), were evaluated with an image dataset of 600 images from a single beehive. The results of the experiments show the viability of using GNN in real environments. GNN has greater accuracy in bee recognition, but with greater processing time, while the kNN classifier requires fewer processing resources but has lower recognition accuracy",MDPI,Images,,neural network honeybees,"kNN, GNN",recognition and analysis of honeybees,classification
Automatic Classification of Honey Bee Subspecies by AI‐Based Neural Network,Automatic Classification of Honey Bee Subspecies by AI‐Based Neural Network,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394335718.ch12,Chandana et al.,2025,"The intention of this study was to observe the feasibility of using honey bee wing image recognition algorithms for subspecies discrimination using four models built on convolutional neural networks. Research using Inception Net V3, Res Net 50, Mobile Net V2, and Inception Res Net V2 was conducted on a dataset of 9887 wing pictures representative of seven categories and one hybrid. All models performed fitter than conventional morphometric analysis, and the accuracy scores for wing-by-wing categorization were more than 0.92. Across the board, the Inception models outperformed the competition in terms of accuracy, precision, and recall. Upon grouping wing photos according to colony, almost every wing in the samples from that group was assigned the same class. The results show that the European subspecies of honey bees can be consistently distinguished using machine learning and automated picture identification. This might be a great help when trying to quickly categorize subspecies for breeding and conservation purposes.",ResearchGate/ Wiley,Images,,neural network honeybees,"ResNet, MobileNet",honeybee subspecies classification,classification
Deep Learning-Based Detection of Honey Storage Areas in Apis mellifera Colonies for Predicting Physical Parameters of Honey via Linear Regression,Deep Learning-Based Detection of Honey Storage Areas in Apis mellifera Colonies for Predicting Physical Parameters of Honey via Linear Regression,https://www.mdpi.com/2075-4450/16/6/575,Khokthong et al.,2025,"Traditional methods for assessing honey storage in beehives predominantly rely on manual visual inspection, which often leads to inconsistencies and inefficiencies. This study presents an automated deep learning approach utilizing the YOLOv11 model to detect, classify, and quantify honey cells within Apis mellifera frames across monthly sampling periods. The model’s performance varied depending on image resolution and dataset partitioning. Using the free version of YOLOv11 with high-resolution images (960 × 960 resolution) and a dataset split of 90:5:5 for training, validating, and testing, the model achieved a mean average precision at IoU threshold of 0.5 (mAP@0.5) of 83.4% for uncapped honey cells and 80.5% for capped honey cells. A strong correlation (r = 0.94) was observed between the 90:5:5 and 80:10:10 dataset splits, indicating that increasing the volume of training data enhances classification accuracy. In parallel, the study investigated the relationship between the physical properties of honey and image-based honey storage detection. Of the four tested properties, electrical conductivity (R2 = 0.19) and color (R2 = 0.21) showed weak predictive power for honey storage area estimation, with even weaker associations found for pH and moisture content. The honey storage areas via 90:5:5 and 80:10:10 datasets moderately correlated (r = 0.44–0.46) with increasing electrical conductivity and color. Especially, electrical conductivity exhibited statistically significant correlations with dataset performance across different dataset splits (p < 0.05), suggesting some potential influence of chemical composition on model accuracy. Our findings demonstrate the viability of image-based honey classification as a reliable technique for monitoring beehive productivity. Additionally, the research on image-based honey detection can be a non-invasive solution for improved honey production, beehive productivity, and optimized beekeeping practices.",MDPI,Images,,machine learning method for honeybee,YOLOv11,"detect, classify, and quantify honey cells",detection
Deep Semantic Segmentation Applied to Honey Bee Comb Cells,Deep Semantic Segmentation Applied to Honey Bee Comb Cells,https://www.researchgate.net/publication/389184252_Deep_Semantic_Segmentation_Applied_to_Honey_Bee_Comb_Cells,Vasconcelos et al.,2025,"Machine learning is increasingly prevalent in various ﬁelds, including beekeeping, where it has beenapplied to honeycomb analysis through Semantic Segmentation of images. This study evaluates differentneural network architectures and encoders using the Intersection over Union (IoU) method to segment Apismellifera honeycombs. A comparative analysis of semantic segmentation techniques was conducted, revealingadvancements in the ﬁeld with the SegNet architecture combined with the MobileNet encoder for featureextraction. We present a new dataset of 10 comb cell images, which we combine with the images from theDeepBee dataset in our experiments. Our results surpass the state-of-the-art results for comb cell segmentationin the DeepBee dataset.",ResearchGate,Images,,-,"SegNet, MobileNet",honeycomb segmentation,
Evaluation of Classification Performance of Honey Bee Species With Deep Learning Models,Evaluation of Classification Performance of Honey Bee Species With Deep Learning Models,https://electricajournal.org/index.php/pub/article/view/1240,Çalışan et al.,2025,"Bees, which have a critical role in the sustainability of our ecosystem, are of vital importance in maintaining ecological balance and biodiversity. More than one-third of the world’s food production is dependent on pollinators, and one of the most important of these is the honey bee. As the decline of bee populations threatens ecological balance and biodiversity, the importance of computer vision techniques for the automatic detection of these species is increasing. In this study, two different deep learning models based on classical convolutional neural network (CNN) and Residual Neural Network (ResNet) architectures are proposed and their effectiveness in classifying honey bee species is examined. Model1 is based on the CNN structure and Model2 uses CNN-ResNet integration. In the experiments on the BeeImage dataset containing images of six different honey bee species, it was determined that Model1 achieved 94.91%, and Model2 achieved 93.63% with the K-fold Cross-Validation technique. The results show that deep learning models can classify bee species in a fast and low-cost way. It is seen that these technologies have significant potential in biological research. The high success rates obtained in the study show that the developed deep learning models can contribute to the protection of biodiversity.",Electrica journal,Images,,-,"CNN, ResNet, K-Fold",Honey bee species classification,classification
Honey Bee Piping Detection Utilizing Convolutional Neural Networks,Honey Bee Piping Detection Utilizing Convolutional Neural Networks,https://ieeexplore.ieee.org/document/10944248/,Campell et al.,2025,"Audio recordings from inside honey beehives can provide significant information about the health and build-up status of the hives. Bees emit important bioacoustic indicators, such as auditory piping signals, which can play a significant role in determining the growth and health status of the hive. As part of the Appalachian Multipurpose Apiary Informatics System (AppMAIS) project, we have installed microphones inside 28 beehives in the Western region of North Carolina. Several of these hives have swarmed over the past two years, allowing us to collect a multitude of recordings containing piping. Using this data, we have trained a piping detector convolutional neural network (CNN), which can function with high accuracy across three unique hives. This article provides details regarding the acoustic properties of the relevant subclasses of piping signals and the design and implementation of a piping classifier.",IEEE,Audio (MFCC),,neural network honeybees,CNN,Honey bee piping detection(associated with colony behaviour),detection
Image-based South Asian bee species identification a machine learning approach,Image-based South Asian bee species identification a machine learning approach,https://www.researchgate.net/publication/393436748_Image-based_South_Asian_bee_species_identification_a_machine_learning_approach,Srinivas et al.,2025,"Healthy ecosystems provide indispensable services like pollination, climate regulation, and soil formation. Pollination service provided by insects alone is valued at €153 billion. Bees are one of the major insect pollinators, making them economically important animals, yet their populations are threatened by anthropogenic pressures. Monitoring the distribution and diversity of wild bees becomes daunting as it involves extensive field surveys, sample collection, and traditional taxonomy. Logistic and ethical issues complicate this further. Machine learning (ML) on passively collected visual data can provide a non-invasive, large-scale solution to these problems. However, a significant challenge for ML application is the lack of geographically varying training data for different bee species, especially from species-rich tropical regions. In addition, these algorithms have predominantly been tested on image data collected under controlled conditions inside laboratories. ML models must be trained to perform on field-collected unrefined images of different bee species for rapid yet non-invasive diversity estimation. In this study, to challenge and bolster the existing deep learning networks, we collected 3250 field-captured images of major South Asian social bees (A. dorsata, A. cerana, A. florea, and Tetragonula spp.). We did not control these images for lighting and camera perspectives, which posed significant challenges to the models. We benchmarked this image dataset using standard convolution neural network (CNN) models, finding that MobileNet-V2 was the best model, achieving the highest accuracy of 98.4%.",ResearchGate/Journal of Insect Conservation,Images,,-,MobileNetv2,Honey bee species classification,classification
Review on Machine Learning Models for Efficient Queen Bee Identification in Beehives,Review on Machine Learning Models for Efficient Queen Bee Identification in Beehives,https://ieeexplore.ieee.org/document/10984712/,Allamaprabhu et al.,2025,"This paper proposes an acoustic monitoring technique for beehive health assessment by analysing sound spectra. Researchers created a database of audio recordings and developed a system for continuous acoustic surveillance. Two colony states—healthy (with a queen bee and normal activity) and queenless were simulated. Using the Mel-frequency cepstral coefficients (MFCC) method, distinctive frequencies were extracted from the spectral content of these phases. The system achieved hive health identification within 30 minutes by comparing specific acoustic traits. Traditional queen detection is time-consuming and disruptive, prompting this investigation into auditory data and machine learning (ML) for hive state classification, including queen absence. Support vector machines (SVM) and convolutional neural networks (CNN) were evaluated on data from the NU Hive Project, demonstrating promising results despite challenges in adapting to new hives. Omnidirectional microphones and Raspberry Pi-based systems were employed for monitoring. MFCC feature extraction and Lasso logistic regression were used for feature selection and regularization in a multiclass model. This work highlights the potential of ML in addressing queen less colony detection through sound pattern analysis.",IEEE/2025 International Conference on Intelligent Computing and Control Systems (ICICCS),Audio (MFCC),,-,"SVM, CNN",Queen bee identification,detection
Spectral Components of Honey Bee Sound Signals Recorded Inside and Outside the Beehive An Explainable Machine Learning Approach to Diurnal Pattern Recognition,Spectral Components of Honey Bee Sound Signals Recorded Inside and Outside the Beehive An Explainable Machine Learning Approach to Diurnal Pattern Recognition,https://www.mdpi.com/1424-8220/25/14/4424,Ksiazek et al.,2025,"This study investigates the impact of microphone placement on honey bee audio monitoring for time-of-day classification, a key step toward automated activity monitoring and anomaly detection. Recognizing the time-dependent nature of bee behavior, we aimed to establish a baseline diurnal pattern recognition method. A custom apparatus enabled simultaneous audio acquisition from internal (brood frame, protected from propolization) and external hive locations. Sound signals were preprocessed using Power Spectral Density (PSD). Extra Trees and Convolutional Neural Network (CNN) classifiers were trained to identify diurnal activity patterns. Analysis focused on feature importance, particularly spectral characteristics. Interestingly, Extra Trees performance varied significantly. While achieving near-perfect accuracy (98–99%) with internal recordings, its accuracy was considerably lower (61–72%) with external recordings, even lower than CNNs trained on the same data (76–87%). Further investigation using Extra Trees and feature selection methods using Mean Decrease Impurity (MDI) and Recursive Feature Elimination with Cross-Validation (RFECV) revealed the importance of the 100–600 Hz band, with peaks around 100 Hz and 300 Hz. These findings inform future monitoring setups, suggesting potential for reduced sampling frequencies and underlining the need for monitoring of sound inside the beehive in order to validate methods being tested.",MDPI/ Acoustic Sensors and Their Applications,"Audio (MFCC, PSD)",,machine learning for honey bee behavior detection,CNN,detect diurnal colony activity patterns,detection
