Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Pass/fail,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Collection time,Approach group
3D Tracking of Honeybees Enhanced by Environmental Context,Chiron et al.,2013,Tracking & Pose Estimation,Individual Tracking & Re-identification — Entrance Flight Tracking,Stereo vision + Global Nearest Neighbor tracking (Classical CV),Video,https://link.springer.com/chapter/10.1007/978-3-642-41181-6_71,"This paper summarizes an approach based on stereo vision to recover honeybee trajectories in 3D at the beehive entrance. The 3D advantage offered by stereo vision is crucial to overcome the rough constraints of the application (number of bees, target dynamics and light). Biologists have highlighted the close scale influence of the environment on bees dynamics. We propose to transpose this idea to enhance our tracking process based on Global Nearest Neighbors. Our method normalizes track/observation association costs that are originally not uniformly distributed over the scene. Therefore, the structure of the scene is needed in order to compute relative distances with the targets. The beehive and especially the flight board is the referent environment for bees, so we propose a method to reconstruct the flight board surface from the noisy and incomplete disparity maps provided by the stereo camera.",Springer,Pass,honeybee video monitoring,"Recovering honeybee trajectories in 3D at the beehive entrance. As stated in the paper: ""So far, no biological study has been conducted at a big scale on flight behaviors. In cause, the lack of suitable methods to collect trajectories of honeybees in flight."" The specific focus is enhancing the tracking process near the flight board, where ""most of wrong detections (false alarms and miss detections) are located"" and ""targets near the flight board tend to progress nearly on the same plan resulting in the lost of the 3D advantage.""",-,Italy,,2013,Optimization / Probabilistic
A CNN-Based Identification of Honeybees' Infection Using Augmentation,Kaur et al.,2022,Classification,Varroa & Disease Detection — Varroa Infection Classification with DCGAN Augmentation,"CLAHE preprocessing + DCGAN (synthetic image generation) + custom 5-layer CNN. Augmentation pipeline: geometric transforms + DCGAN on 100–200 base images → up to 10,000 samples. Best F1: 99.9% at 8,000–10,000 samples.",Image,https://ieeexplore.ieee.org/document/9988275,"Honeybees are one of the most important pollinators and crucial for our survival on earth. In recent years, bee colonies have been under continuous threat of the parasitic mite varroa destructor. Designing an efficient system to detect varroa infestation has been a formidable challenge and a topic of intense inter-est among academics. To develop a robust deep neural network classification model, high-quality and comprehensive image data is required. Collecting and preparing such data is laborious, time-consuming and expensive in a beehive environment. This study presents a computer vision-based method for classifying infected and healthy honeybees, considering imprecise and insufficient visual data. As a remedy, picture contrast enhancement and GAN-based image data augmentation techniques are applied to optimise data quantity and quality, consecutively. The binary classification is performed using an optimised CNN method. The image enhancement technique not only improved the sharpness of the image but also boosted the CNN classifier performance. The optimised CNN performance improved significantly with GAN-based augmented data compared to both original and conventionally augmented data. Experimental results of the proposed model demonstrate encouraging results for identifying varroa mites on images which paves the way for future beehive monitoring systems.",,Pass,cnn-based individual identification and tracking bee,Parasite detection in honey bee colony,-,New Zealand,,2022,CNN & Variants
A Color Moments-Based Method for Detection of Honey Bee Diseases,Micheli et al.,2024,Classification,Varroa & Disease Detection — Classification,"Color moments (mean, std, skewness per RGB channel) as compact visual features + SVM. Detects 5 diseases: Varroa, American foulbrood, European foulbrood, chalkbrood, small hive beetle. Low-cost feature extraction suitable for edge devices.",Image,https://ieeexplore.ieee.org/document/10710692/,"Since the inception of natural life, honey bees have constituted one of the most significant natural elements of pollination. It is therefore imperative to ensure the continued health of bees in order to maintain the bee population. The health of honey bees is threatened by five main diseases. This study proposes a novel, lightweight method for the detection of the five most prevalent diseases affecting honey bees. The method is based on color moments and provides sensitive feature extraction for the detection of color changes in images of bees that have been intensively coloured. The mean, variance and skewness values were calculated for each of the red, green and blue channels from the bee images, resulting in the extraction of nine features. The extracted features were then classified using a support vector machine (SVM). It was observed that the majority of the obtained results exhibited superior performance compared to deep learning solutions.",IEEE,Pass,,detection of the five most prevalent diseases affecting honey bees,USA,Turkey,United States,2018,Classical ML
A Comparative Study of Hybrid Machine-Learning vs. Deep-Learning Approaches for Varroa Mite Detection and Counting,Ghezal & König,2025,Detection,Varroa & Disease Detection — Comparative Study of ML vs DL on Hyperspectral Varroa Board Images,"Controlled comparison of (1) classical ML pipeline: PCA (5 components, 93.6% variance) → 1-NN segmentation → blob extraction → 6 geometric features → linear SVM; and (2) deep learning: Faster R-CNN with ResNet-50 + FPN and ResNet-101 + FPN (25-channel hyperspectral input, Optuna tuning, 300 epochs). Data: 12 hyperspectral images (Photonfocus, 25 bands 675–975 nm) of Varroa boards; 6 train / 6 test (38 mites). Results: ML: Precision 0.9983, Recall 0.9947, F1 0.9918 (37/38); ResNet-50: F1 0.848 (28/38); ResNet-101: F1 0.894 (30/38). ML training ~69 s CPU vs DL >1000 s GPU. Sensors 25(16):5075, Aug 2025.",Image,,,,,,,,,,,
A Computer Vision System to Monitor the Infestation Level of Varroa destructor in a Honeybee Colony,Bjerge et al.,2019,monitoring & predictive health analytics,Varroa & Disease Detection — monitoring & predictive health analytics,"Multi-stage deep learning pipeline: background subtraction + deep CNN (bee counter, F1=0.97) + second CNN (Varroa mite detector, F1=0.91). Custom Infestation Level Estimator (ILE). Multispectral illumination hardware.",Video,https://www.sciencedirect.com/science/article/pii/S0168169918310329,"This paper presents a portable computer vision system, that is able to monitor the infestation level of the Varroa destructor mite in a beehive by recording a video sequence of live honeybees Apis mellifera for 5–20 min. A video monitoring unit with multispectral illumination and camera was designed to be placed in front of the beehive, where bees from a selected frame were shaken off. Subsequently, a computer vision algorithm (denoted as the Infestation Level Estimator) based on deep learning analysis of the video stream counted the number of honeybees and found the position of identified varroa mites. In this paper, the design and the algorithm that were used to determine the number of bees and mites are presented. Based on a video sequence with 1775 bees and 98 visual mites, the algorithm measured the infestation level to 5.80% compared to a ground truth of 5.52%. The algorithm had a high F1-score accuracy for counting bees (0.97), while the F1-score for detecting varroa mites was lower (0.91). The latter was due to mispredictions, which can be resolved by improving both the trained varroa classifier and the mechanical setup. Overall, the proposed computer vision system and algorithm showed a promising results in nondestructive and automatic monitoring of infestation levels in honeybee colonies and should be considered as an alternative to traditional methods, which require the killing of bees",Elsevier,Pass,,"The paper aims to monitor the infestation level of Varroa destructor in a honeybee colony in a nondestructive and automatic way. It presents the system as an alternative to traditional methods, which the paper says require the killing of bees.",-,Denmark,,2019,CNN & Variants
A Deep Learning Approach to Classify the Honeybee Species and Health Identification,Karthiga et al.,2021,Classification,Species & Subspecies Classification — Dual Species and Disease Classification,"Two-layer CNN + SMOTE (minority-class oversampling). Dual output heads: (1) subspecies recognition, (2) disease screening. Training set: 5,000+ worker-bee images annotated with pollen, subspecies, health, and location metadata.",Image,https://ieeexplore.ieee.org/abstract/document/9445173,Honey bee is one of the charming insect that utilizes a collective behavioral nature to achieve the powerful action. Protecting honey bees is one of the important jobs of every human in the world to preserve the ecological balance. Tracking and determining the several species of the bees over their life span electronically is a tedious work. Automated classification of species is important to preserve the various species of honey bees from danger. The diseases that affect the honey bees during their life span have to be detected autonomously and the spread of the diseases to other healthy honey bees has to be preserved. The proposed technique aims in classifying the several species of honey bees and identifying the diseases that are prone to honey bees. Convolution neural network with two dimensional layers are used as a classifier in the proposed model. Data augmentation using Synthetic Minority Over-sampling Technique (SMOTE) is utilized. More than 5000 images of honey bees with lot of features are used for learning purpose. The proposed methodology attained an accuracy of 86% for subspecies classification and 84% for bee health identification.,,Pass,Bee Species Classification,image classification,USA,india,United States,2021,CNN & Variants
A Deep Learning Approach to Recognizing Bees in Video Analysis of Bee Traffic,Tiwari,2018,Detection,Hive Entrance & Traffic Monitoring — Colony Strength via Bee Counting,"CNN (custom architectures) + MLP (4 variants, hyperparameter tuning). Comparison study of CNNs vs MLPs on a labelled BEE/NO-BEE dataset.",Video,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=8185&context=etd,"This thesis presents a Deep Learning (DL) approach to recognize bees in videos for the analysis of bee traffic in real time. Bee traffic will further help in analysis of forager traffic to monitor bee colony behavior. Various Convolutional Neural Networks (ConvNet) and Multi Layer Perceptron (MLP) models have been designed and trained to experiment, compare and analyze different factors that can affect the performance of the model. The best model then is integrated with a motion detection algorithm that is made to work on a Raspberry Pi 3 computer in collaboration with Electronic Beehive Monitoring System. Modern computer vision tasks are dominated by ConvNets due to their superior performance. Many aspects of ConvNets have been examined in various publications but literature about the analysis and construction of neural network architectures are rare. This work is an attempt to fill this gap and closely analyze and compare the difference in performance of MLPs and ConvNets.",Video Analysis of Bee Traffic,Pass,honey bee artificial intelligence,"Recognizing Bees in Video Analysis of Bee Traffic, detection of Colony Collapse Disorder (CCD)",usa,usa,United States,2018,Hybrid / Multi-Model
A Deep Learning-Based Approach for Bee Sound Identification,Truong et al.,2023,Classification,Colony Health & Acoustic Monitoring — Multi-Class Bee Sound Identification,"Mel spectrogram features → CNN + GRU (Mel-CNN-GRU hybrid). Three-class classification: bee buzzing, cricket chirping, ambient noise. Outperforms prior CNN-only baselines. PyTorch implementation.",Audio,https://pdf.sciencedirectassets.com/273474/1-s2.0-S1574954123X00053/1-s2.0-S1574954123003035/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEE8aCXVzLWVhc3QtMSJHMEUCIQCZnz46WLpg4g26CMjyIhQw0aFHFM%2BS9u3VrqCcnLatBQIgCRUTitxwV8rYkFFcBRwcwXjCM9LBtocVfKTr5UvcH%2FYqsgUIGBAFGgwwNTkwMDM1NDY4NjUiDCWsoRmECGL3QafGUyqPBV7B9D%2B2Wyx9kKHtsxWgOSHSp4hE4xkcVPrrVmuuCG3DDaftYb57zKo6QmkSTfv7Nxmu9cuuqzXW3dpMB57TBtWxDDoaTFOk8okQYPsErpK5VphZZfyd73Dy2Hh5cuMA%2F99qmgDxVY2onIq7iAjBNRPyjpZV5LxeLSg8r8Aw%2FDvPIqTeGsTe6Xr7joQs%2B5YwRqvN0pgMKDYwedt%2BPmTRxz2r2blWTTe9BHyNIYeZs3RgGRZCaKYktlRtsGgK7L7OOqVV%2Br6hR0La1qj1jgwZZUhFModWr8RCFDI9NWhg0WtX4VicKxpZU9FuMtwo6Wmg5Ttuoc8LOj1fClw1RkzZx80YHLxlhnMTPHhTf83sk8RWkDW%2BTHcj%2BQ9ozjDu7ArSUaG2MVMIC8U3Ag3xb9Nh7O%2Fk84%2B6%2F9MJNV3Ea%2B3K0lyukpX4d2m78oqggUcwkjSljBT0CHIGYXG9sqvVf9w6JipBHuq9coDMC65LMGnFPHKxbiSkOffaLdlXzQQZsj7056sw5s7%2Fg47nYHKqPE2w61hLhXTbVowy6W6CHu8Hz%2F1tyES7XnF3ECSsEBQSrG2DL47rg3ztIrfGi%2BrOfenfpuQLdSZRet80kitIAvzCa4qyYNGeZ%2FaQz7vnMx7EU39NskMFcA0gr3XQJA2x7GR2egE1jRmUUGDgwZjAFXPZMK4lceNuTbq0TRBlui6q98kS37aeKsEg80ohLTyNZzOrW3XuCdm2G8d75%2FhOuicuqtEesqY5i5uPieqeOEJch3mecz0LXWhyt4iuEwMyEFFxsO3bpwtwldc9e3XL6NrEvEeYtDfinzZsRInxVz9wYy7xd9Se7c9kh9Hh7hodBFfk8tgRocM2i%2BsXpw%2Bnr6fwTvkwmZC2zQY6sQEP5j%2FUmPu%2BVrqa7IYjuU9xy6YEYcPAzfRL849l8kdFbgNE5p8rQdhyyBTxZGjadVlyqsD8Ci4q86LxphUS4IlY8r2LI0avQgrjxinAioJ57gNc%2FkS2LiMo3zdnwZEcsLFLKxC%2FkjUJfVdqyqO2Q%2FAi0dtoFYA6Odozz6lVzpJjnfCT7ITMRArUUUbrBSxk6JiHDGSrnL4IhT98awbBjmBNIde8556YjuUUTDLC%2BkwbLUQ%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260308T152454Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY44YDXICO%2F20260308%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a34ea1746dab8b2c1cadccd617ed559907467a8d7a34d71e8dcccd907ccc740a&hash=bc5b71a950d727c19503aa382d9a93f6938d7368a049f92d27544c3b8ba56a1b&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1574954123003035&tid=spdf-6e43e85d-ffe9-4d95-b221-bb4dd24913c7&sid=944169d380b1c746748a7db85b5f8d95f69dgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=06005e065e50055e57&rr=9d92d976ff5a519f&cc=de,"Bee buzzing carries a lot of information about colony behavior. These sounds can provide beekeepers with insights into various stressed situations in the colony such as the absence of a queen, swarming, and the appearance of predatory mites and airborne toxins. As a result, bee sounds are an important source for humans to understand more about bee’s status, activities, and behaviors. That grows the interest in applying machine learning and deep learning techniques to monitor beehives based on their buzzing sounds in recent years worldwide. In this study, we present a novel deep learning method that combines the Convolutional Neural Network (CNN) and the Gated Recurrent Unit (GRU) for bee sound identification. The Mel Spectrogram and the Bayesian Optimization are also employed to enhance the performance of the learning model. The experiments are conducted based on three real data sets. The obtained results show that our proposed method outperforms the existing models in recognizing bee buzzing sounds from noise and cricket sound by 1% in terms of accuracy.",Elsevier,Pass,,"The paper studies how to distinguish bee buzzing sounds from non-bee sounds, especially cricket chirping and ambient noise, because mixed non-bee sounds in the collected data can harm later beehive analysis. The stated goal is to improve existing models for distinguishing sounds that are “to bee or not to bee.”",USA,Vietnam,United States,2018,Hybrid / Multi-Model
A Machine Learning Approach for Queen Bee Detection Through Remote Audio Sensing to Safeguard Honeybee Colonies,Barbisan et al.,2024,monitoring & predictive health analytics,Colony Health & Acoustic Monitoring — Remote Audio Queen Detection (SVM/NN),"MFCC + STFT features → SVM and NN compared. Remote audio sensing for continuous, non-invasive queen presence monitoring. Extends Barbisan 2023 framework to remote deployment.",Audio,https://ieeexplore.ieee.org/document/10557729/,"Honeybees play a pivotal role in maintaining global ecosystems and agricultural productivity through their indispensable contribution to crop pollination. However, the alarming rise in honeybee mortality, attributed to various stress factors including climate change, has highlighted the urgency of implementing effective monitoring strategies. Remote sensing of beehives emerges as a promising solution, with a focus on understanding and mitigating the impacts of these stressors. Differently from other approaches proposed in the literature, this study specifically explores the potential of lightweight machine learning models and the extraction of compressed feature to enable future deployment on microcontroller devices. The experimentation involves the application of support vector machines and neural network classifiers, considering the influence of variable audio chunk durations, the utilization of different hyperparameters and combining the audio recorded in several hives and available in different datasets.",IEEE,Pass,,Queen bee identification,California (focused on european honeybees there),Italy,United States,2024,Hybrid / Multi-Model
A Machine Learning-Based Multiclass Classification Model for Bee Colony Anomaly Identification Using an IoT-Based Audio Monitoring System with Edge Computing,Chen et al.,2024,monitoring & predictive health analytics,Colony Health & Acoustic Monitoring — monitoring & predictive health analytics,"Audio feature extraction (MFCC, Mel spectrogram) + KNN classifier on edge computing device. Multi-class: queenless, virus-infected, pesticide-contaminated, normal. IoT sensor network with edge inference for low-latency monitoring.",Audio,https://www.sciencedirect.com/science/article/abs/pii/S0957417424017652,"pproximately one-third of human food is derived from flowering plants, and 80% of those plants require honeybees for pollination. However, climate change is affecting bees as well as the beekeeping industry. Having continuous information on the condition of honey bee colonies would be helpful in studying new diseases such as colony collapse disorder, as well as in developing novel beekeeping tools to improve the health management of bee colonies. In this study, an audio monitoring system is established based on Internet of Thing (IoT) technology to record the sounds produced by bees. A colony status classification model coupled with a machine learning algorithm is used to analyze the sound data of bee colonies under various treatments to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated. With an edge computing framework, the classification is done by the monitoring system, which greatly reduces data transmission delay and cloud computing burden. The field test results show that the accuracy and F1-score for the classification model for the beehive under various treatments reach 98.8% and 0.98, respectively. The proposed IoT-based audio monitoring system for beehives can assist beekeepers and users in managing bee colonies more effectively by providing automatic, accurate, and real-time monitoring information regarding the current colony conditions.",ScienceDirect,Pass,,"to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated.",-,Taiwan,,2024,Classical ML
